ID Year,Year,HouseholdIncome,Household Income by Race Moe,Geography,ID Geography,Slug Geography
2020,"2020",64994,128,"United States","01000US","united-states"
2020,"2020",59234,218,"Michigan","04000US26","michigan"
2020,"2020",64641,828,"Macomb County, MI","05000US26099","macomb-county-mi"
2020,"2020",65453,1699,"Monroe County, MI","05000US26115","monroe-county-mi"
2020,"2020",81587,792,"Oakland County, MI","05000US26125","oakland-county-mi"
2020,"2020",75730,1560,"Washtenaw County, MI","05000US26161","washtenaw-county-mi"
2020,"2020",49359,485.00000000000006,"Wayne County, MI","05000US26163","wayne-county-mi"
2020,"2020",62768,416,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi"
2019,"2019",62843,135,"United States","01000US","united-states"
2019,"2019",57144,216,"Michigan","04000US26","michigan"
2019,"2019",62855,631,"Macomb County, MI","05000US26099","macomb-county-mi"
2019,"2019",62203,1547,"Monroe County, MI","05000US26115","monroe-county-mi"
2019,"2019",79698,700,"Oakland County, MI","05000US26125","oakland-county-mi"
2019,"2019",72586,1463,"Washtenaw County, MI","05000US26161","washtenaw-county-mi"
2019,"2019",47301,463.99999999999994,"Wayne County, MI","05000US26163","wayne-county-mi"
2019,"2019",60984,366,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi"
2018,"2018",60293,140,"United States","01000US","united-states"
2018,"2018",54938,166,"Michigan","04000US26","michigan"
2018,"2018",60466,672,"Macomb County, MI","05000US26099","macomb-county-mi"
2018,"2018",61514,1239,"Monroe County, MI","05000US26115","monroe-county-mi"
2018,"2018",76387,629,"Oakland County, MI","05000US26125","oakland-county-mi"
2018,"2018",69434,1194,"Washtenaw County, MI","05000US26161","washtenaw-county-mi"
2018,"2018",45321,376,"Wayne County, MI","05000US26163","wayne-county-mi"
2018,"2018",58544,301,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi"
2017,"2017",57652,138,"United States","01000US","united-states"
2017,"2017",52668,180,"Michigan","04000US26","michigan"
2017,"2017",58175,616,"Macomb County, MI","05000US26099","macomb-county-mi"
2017,"2017",59479,1498,"Monroe County, MI","05000US26115","monroe-county-mi"
2017,"2017",73369,548,"Oakland County, MI","05000US26125","oakland-county-mi"
2017,"2017",65618,1092,"Washtenaw County, MI","05000US26161","washtenaw-county-mi"
2017,"2017",43702,405,"Wayne County, MI","05000US26163","wayne-county-mi"
2017,"2017",56339,303,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi"
2016,"2016",55322,120.00000000000001,"United States","01000US","united-states"
2016,"2016",50803,162,"Michigan","04000US26","michigan"
2016,"2016",55951,615,"Macomb County, MI","05000US26099","macomb-county-mi"
2016,"2016",56968,1251,"Monroe County, MI","05000US26115","monroe-county-mi"
2016,"2016",69850,592,"Oakland County, MI","05000US26125","oakland-county-mi"
2016,"2016",62484,984.0000000000001,"Washtenaw County, MI","05000US26161","washtenaw-county-mi"
2016,"2016",42043,348,"Wayne County, MI","05000US26163","wayne-county-mi"
2016,"2016",54037,312,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi"
2015,"2015",53889,109.99999999999999,"United States","01000US","united-states"
2015,"2015",49576,186,"Michigan","04000US26","michigan"
2015,"2015",54582,606,"Macomb County, MI","05000US26099","macomb-county-mi"
2015,"2015",55653,1535,"Monroe County, MI","05000US26115","monroe-county-mi"
2015,"2015",67465,680,"Oakland County, MI","05000US26125","oakland-county-mi"
2015,"2015",61003,901,"Washtenaw County, MI","05000US26161","washtenaw-county-mi"
2015,"2015",41210,304,"Wayne County, MI","05000US26163","wayne-county-mi"
2015,"2015",52603,320,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi"
2014,"2014",53482,95,"United States","01000US","united-states"
2014,"2014",49087,192,"Michigan","04000US26","michigan"
2014,"2014",54059,547,"Macomb County, MI","05000US26099","macomb-county-mi"
2014,"2014",54911,1396,"Monroe County, MI","05000US26115","monroe-county-mi"
2014,"2014",66436,554,"Oakland County, MI","05000US26125","oakland-county-mi"
2014,"2014",60805,958,"Washtenaw County, MI","05000US26161","washtenaw-county-mi"
2014,"2014",41421,325,"Wayne County, MI","05000US26163","wayne-county-mi"
2014,"2014",52305,232.99999999999997,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi"
2013,"2013",53046,89,"United States","01000US","united-states"
2013,"2013",48411,163,"Michigan","04000US26","michigan"
2013,"2013",53451,554,"Macomb County, MI","05000US26099","macomb-county-mi"
2013,"2013",53972,1191,"Monroe County, MI","05000US26115","monroe-county-mi"
2013,"2013",65594,613,"Oakland County, MI","05000US26125","oakland-county-mi"
2013,"2013",59055,984.9999999999999,"Washtenaw County, MI","05000US26161","washtenaw-county-mi"
2013,"2013",41184,326,"Wayne County, MI","05000US26163","wayne-county-mi"
2013,"2013",51844,241,"Detroit-Warren-Dearborn, MI","31000US19820","detroit-warren-dearborn-mi"