Area;Year;Area Type;Region;State Code;Population (Population)
Lapeer County, MI;1970;County;MI;26;52733
Livingston County, MI;1970;County;MI;26;59444
Macomb County, MI;1970;County;MI;26;627809
Oakland County, MI;1970;County;MI;26;909470
St. Clair County, MI;1970;County;MI;26;120439
Wayne County, MI;1970;County;MI;26;2670090
Lapeer County, MI;1971;County;MI;26;54220
Livingston County, MI;1971;County;MI;26;61366
Macomb County, MI;1971;County;MI;26;634254
Oakland County, MI;1971;County;MI;26;915870
St. Clair County, MI;1971;County;MI;26;125077
Wayne County, MI;1971;County;MI;26;2668979
Lapeer County, MI;1972;County;MI;26;55080
Livingston County, MI;1972;County;MI;26;63914
Macomb County, MI;1972;County;MI;26;634928
Oakland County, MI;1972;County;MI;26;919900
St. Clair County, MI;1972;County;MI;26;127169
Wayne County, MI;1972;County;MI;26;2652508
Lapeer County, MI;1973;County;MI;26;57523
Livingston County, MI;1973;County;MI;26;69597
Macomb County, MI;1973;County;MI;26;648370
Oakland County, MI;1973;County;MI;26;938143
St. Clair County, MI;1973;County;MI;26;128503
Wayne County, MI;1973;County;MI;26;2593632
Lapeer County, MI;1974;County;MI;26;59965
Livingston County, MI;1974;County;MI;26;74050
Macomb County, MI;1974;County;MI;26;655633
Oakland County, MI;1974;County;MI;26;950747
St. Clair County, MI;1974;County;MI;26;130580
Wayne County, MI;1974;County;MI;26;2551090
Lapeer County, MI;1975;County;MI;26;61481
Livingston County, MI;1975;County;MI;26;76531
Macomb County, MI;1975;County;MI;26;657369
Oakland County, MI;1975;County;MI;26;957279
St. Clair County, MI;1975;County;MI;26;131772
Wayne County, MI;1975;County;MI;26;2510011
Lapeer County, MI;1976;County;MI;26;62808
Livingston County, MI;1976;County;MI;26;79826
Macomb County, MI;1976;County;MI;26;661732
Oakland County, MI;1976;County;MI;26;962611
St. Clair County, MI;1976;County;MI;26;132928
Wayne County, MI;1976;County;MI;26;2461656
Lapeer County, MI;1977;County;MI;26;64302
Livingston County, MI;1977;County;MI;26;84728
Macomb County, MI;1977;County;MI;26;672214
Oakland County, MI;1977;County;MI;26;978935
St. Clair County, MI;1977;County;MI;26;134861
Wayne County, MI;1977;County;MI;26;2416929
Lapeer County, MI;1978;County;MI;26;66536
Livingston County, MI;1978;County;MI;26;90786
Macomb County, MI;1978;County;MI;26;680971
Oakland County, MI;1978;County;MI;26;997236
St. Clair County, MI;1978;County;MI;26;137298
Wayne County, MI;1978;County;MI;26;2383783
Lapeer County, MI;1979;County;MI;26;69018
Livingston County, MI;1979;County;MI;26;96680
Macomb County, MI;1979;County;MI;26;689661
Oakland County, MI;1979;County;MI;26;1009314
St. Clair County, MI;1979;County;MI;26;138970
Wayne County, MI;1979;County;MI;26;2353158
Lapeer County, MI;1980;County;MI;26;70038
Livingston County, MI;1980;County;MI;26;100289
Macomb County, MI;1980;County;MI;26;694600
Oakland County, MI;1980;County;MI;26;1011793
St. Clair County, MI;1980;County;MI;26;138802
Wayne County, MI;1980;County;MI;26;2337843
Lapeer County, MI;1981;County;MI;26;70622
Livingston County, MI;1981;County;MI;26;101930
Macomb County, MI;1981;County;MI;26;687118
Oakland County, MI;1981;County;MI;26;1000873
St. Clair County, MI;1981;County;MI;26;140020
Wayne County, MI;1981;County;MI;26;2275169
Lapeer County, MI;1982;County;MI;26;69783
Livingston County, MI;1982;County;MI;26;100697
Macomb County, MI;1982;County;MI;26;684852
Oakland County, MI;1982;County;MI;26;997169
St. Clair County, MI;1982;County;MI;26;138598
Wayne County, MI;1982;County;MI;26;2231999
Lapeer County, MI;1983;County;MI;26;68876
Livingston County, MI;1983;County;MI;26;99732
Macomb County, MI;1983;County;MI;26;682777
Oakland County, MI;1983;County;MI;26;996805
St. Clair County, MI;1983;County;MI;26;137362
Wayne County, MI;1983;County;MI;26;2199498
Lapeer County, MI;1984;County;MI;26;69079
Livingston County, MI;1984;County;MI;26;100243
Macomb County, MI;1984;County;MI;26;687270
Oakland County, MI;1984;County;MI;26;1007281
St. Clair County, MI;1984;County;MI;26;137732
Wayne County, MI;1984;County;MI;26;2181158
Lapeer County, MI;1985;County;MI;26;69362
Livingston County, MI;1985;County;MI;26;101723
Macomb County, MI;1985;County;MI;26;693630
Oakland County, MI;1985;County;MI;26;1020273
St. Clair County, MI;1985;County;MI;26;138207
Wayne County, MI;1985;County;MI;26;2172791
Lapeer County, MI;1986;County;MI;26;70355
Livingston County, MI;1986;County;MI;26;103866
Macomb County, MI;1986;County;MI;26;702036
Oakland County, MI;1986;County;MI;26;1035874
St. Clair County, MI;1986;County;MI;26;139580
Wayne County, MI;1986;County;MI;26;2168060
Lapeer County, MI;1987;County;MI;26;71503
Livingston County, MI;1987;County;MI;26;107353
Macomb County, MI;1987;County;MI;26;708068
Oakland County, MI;1987;County;MI;26;1052222
St. Clair County, MI;1987;County;MI;26;141245
Wayne County, MI;1987;County;MI;26;2161103
Lapeer County, MI;1988;County;MI;26;72688
Livingston County, MI;1988;County;MI;26;110210
Macomb County, MI;1988;County;MI;26;710115
Oakland County, MI;1988;County;MI;26;1062597
St. Clair County, MI;1988;County;MI;26;142412
Wayne County, MI;1988;County;MI;26;2136061
Lapeer County, MI;1989;County;MI;26;73429
Livingston County, MI;1989;County;MI;26;112557
Macomb County, MI;1989;County;MI;26;713808
Oakland County, MI;1989;County;MI;26;1072321
St. Clair County, MI;1989;County;MI;26;143476
Wayne County, MI;1989;County;MI;26;2122313
Lapeer County, MI;1990;County;MI;26;75118
Livingston County, MI;1990;County;MI;26;116655
Macomb County, MI;1990;County;MI;26;718280
Oakland County, MI;1990;County;MI;26;1086685
St. Clair County, MI;1990;County;MI;26;146333
Wayne County, MI;1990;County;MI;26;2107915
Lapeer County, MI;1991;County;MI;26;76550
Livingston County, MI;1991;County;MI;26;119527
Macomb County, MI;1991;County;MI;26;728183
Oakland County, MI;1991;County;MI;26;1100954
St. Clair County, MI;1991;County;MI;26;148638
Wayne County, MI;1991;County;MI;26;2111811
Lapeer County, MI;1992;County;MI;26;77782
Livingston County, MI;1992;County;MI;26;122604
Macomb County, MI;1992;County;MI;26;737278
Oakland County, MI;1992;County;MI;26;1117187
St. Clair County, MI;1992;County;MI;26;150116
Wayne County, MI;1992;County;MI;26;2114839
Lapeer County, MI;1993;County;MI;26;79187
Livingston County, MI;1993;County;MI;26;125704
Macomb County, MI;1993;County;MI;26;745112
Oakland County, MI;1993;County;MI;26;1129455
St. Clair County, MI;1993;County;MI;26;151541
Wayne County, MI;1993;County;MI;26;2113713
Lapeer County, MI;1994;County;MI;26;80303
Livingston County, MI;1994;County;MI;26;129655
Macomb County, MI;1994;County;MI;26;751181
Oakland County, MI;1994;County;MI;26;1141823
St. Clair County, MI;1994;County;MI;26;153027
Wayne County, MI;1994;County;MI;26;2109434
Lapeer County, MI;1995;County;MI;26;82345
Livingston County, MI;1995;County;MI;26;134170
Macomb County, MI;1995;County;MI;26;761378
Oakland County, MI;1995;County;MI;26;1155687
St. Clair County, MI;1995;County;MI;26;154853
Wayne County, MI;1995;County;MI;26;2111313
Lapeer County, MI;1996;County;MI;26;84125
Livingston County, MI;1996;County;MI;26;138830
Macomb County, MI;1996;County;MI;26;773074
Oakland County, MI;1996;County;MI;26;1167082
St. Clair County, MI;1996;County;MI;26;156509
Wayne County, MI;1996;County;MI;26;2113482
Lapeer County, MI;1997;County;MI;26;85209
Livingston County, MI;1997;County;MI;26;143075
Macomb County, MI;1997;County;MI;26;776506
Oakland County, MI;1997;County;MI;26;1176377
St. Clair County, MI;1997;County;MI;26;158559
Wayne County, MI;1997;County;MI;26;2100674
Lapeer County, MI;1998;County;MI;26;86299
Livingston County, MI;1998;County;MI;26;147808
Macomb County, MI;1998;County;MI;26;779567
Oakland County, MI;1998;County;MI;26;1182206
St. Clair County, MI;1998;County;MI;26;160726
Wayne County, MI;1998;County;MI;26;2085111
Lapeer County, MI;1999;County;MI;26;87080
Livingston County, MI;1999;County;MI;26;153033
Macomb County, MI;1999;County;MI;26;783828
Oakland County, MI;1999;County;MI;26;1188498
St. Clair County, MI;1999;County;MI;26;163096
Wayne County, MI;1999;County;MI;26;2072114
Lapeer County, MI;2000;County;MI;26;88271
Livingston County, MI;2000;County;MI;26;158345
Macomb County, MI;2000;County;MI;26;790846
Oakland County, MI;2000;County;MI;26;1196165
St. Clair County, MI;2000;County;MI;26;164621
Wayne County, MI;2000;County;MI;26;2057255
Lapeer County, MI;2001;County;MI;26;89102
Livingston County, MI;2001;County;MI;26;163146
Macomb County, MI;2001;County;MI;26;800571
Oakland County, MI;2001;County;MI;26;1200425
St. Clair County, MI;2001;County;MI;26;165444
Wayne County, MI;2001;County;MI;26;2043167
Lapeer County, MI;2002;County;MI;26;90035
Livingston County, MI;2002;County;MI;26;167833
Macomb County, MI;2002;County;MI;26;808457
Oakland County, MI;2002;County;MI;26;1198889
St. Clair County, MI;2002;County;MI;26;166086
Wayne County, MI;2002;County;MI;26;2025133
Lapeer County, MI;2003;County;MI;26;90573
Livingston County, MI;2003;County;MI;26;171357
Macomb County, MI;2003;County;MI;26;815982
Oakland County, MI;2003;County;MI;26;1201756
St. Clair County, MI;2003;County;MI;26;167549
Wayne County, MI;2003;County;MI;26;2006154
Lapeer County, MI;2004;County;MI;26;91125
Livingston County, MI;2004;County;MI;26;175245
Macomb County, MI;2004;County;MI;26;823418
Oakland County, MI;2004;County;MI;26;1203812
St. Clair County, MI;2004;County;MI;26;168457
Wayne County, MI;2004;County;MI;26;1983830
Lapeer County, MI;2005;County;MI;26;91739
Livingston County, MI;2005;County;MI;26;178819
Macomb County, MI;2005;County;MI;26;828765
Oakland County, MI;2005;County;MI;26;1203253
St. Clair County, MI;2005;County;MI;26;168209
Wayne County, MI;2005;County;MI;26;1960263
Lapeer County, MI;2006;County;MI;26;91691
Livingston County, MI;2006;County;MI;26;181620
Macomb County, MI;2006;County;MI;26;833328
Oakland County, MI;2006;County;MI;26;1202256
St. Clair County, MI;2006;County;MI;26;168312
Wayne County, MI;2006;County;MI;26;1932490
Lapeer County, MI;2007;County;MI;26;91130
Livingston County, MI;2007;County;MI;26;181903
Macomb County, MI;2007;County;MI;26;835703
Oakland County, MI;2007;County;MI;26;1199862
St. Clair County, MI;2007;County;MI;26;167526
Wayne County, MI;2007;County;MI;26;1900992
Lapeer County, MI;2008;County;MI;26;89914
Livingston County, MI;2008;County;MI;26;181171
Macomb County, MI;2008;County;MI;26;837857
Oakland County, MI;2008;County;MI;26;1199545
St. Clair County, MI;2008;County;MI;26;165959
Wayne County, MI;2008;County;MI;26;1865058
Lapeer County, MI;2009;County;MI;26;88774
Livingston County, MI;2009;County;MI;26;181082
Macomb County, MI;2009;County;MI;26;839435
Oakland County, MI;2009;County;MI;26;1200890
St. Clair County, MI;2009;County;MI;26;164011
Wayne County, MI;2009;County;MI;26;1837536
Lapeer County, MI;2010;County;MI;26;88210
Livingston County, MI;2010;County;MI;26;181069
Macomb County, MI;2010;County;MI;26;841352
Oakland County, MI;2010;County;MI;26;1203106
St. Clair County, MI;2010;County;MI;26;162690
Wayne County, MI;2010;County;MI;26;1815081
Lapeer County, MI;2011;County;MI;26;88094
Livingston County, MI;2011;County;MI;26;182043
Macomb County, MI;2011;County;MI;26;844146
Oakland County, MI;2011;County;MI;26;1212643
St. Clair County, MI;2011;County;MI;26;161581
Wayne County, MI;2011;County;MI;26;1803189
Lapeer County, MI;2012;County;MI;26;88195
Livingston County, MI;2012;County;MI;26;182783
Macomb County, MI;2012;County;MI;26;849734
Oakland County, MI;2012;County;MI;26;1223598
St. Clair County, MI;2012;County;MI;26;160625
Wayne County, MI;2012;County;MI;26;1795929
Lapeer County, MI;2013;County;MI;26;88291
Livingston County, MI;2013;County;MI;26;184205
Macomb County, MI;2013;County;MI;26;857110
Oakland County, MI;2013;County;MI;26;1235468
St. Clair County, MI;2013;County;MI;26;160288
Wayne County, MI;2013;County;MI;26;1780225
Lapeer County, MI;2014;County;MI;26;88194
Livingston County, MI;2014;County;MI;26;185527
Macomb County, MI;2014;County;MI;26;862876
Oakland County, MI;2014;County;MI;26;1242853
St. Clair County, MI;2014;County;MI;26;160065
Wayne County, MI;2014;County;MI;26;1771679
Lapeer County, MI;2015;County;MI;26;88368
Livingston County, MI;2015;County;MI;26;187171
Macomb County, MI;2015;County;MI;26;864960
Oakland County, MI;2015;County;MI;26;1244602
St. Clair County, MI;2015;County;MI;26;159700
Wayne County, MI;2015;County;MI;26;1764872
Lapeer County, MI;2016;County;MI;26;88171
Livingston County, MI;2016;County;MI;26;188547
Macomb County, MI;2016;County;MI;26;868534
Oakland County, MI;2016;County;MI;26;1251027
St. Clair County, MI;2016;County;MI;26;159369
Wayne County, MI;2016;County;MI;26;1760612
Lapeer County, MI;2017;County;MI;26;88122
Livingston County, MI;2017;County;MI;26;189869
Macomb County, MI;2017;County;MI;26;871364
Oakland County, MI;2017;County;MI;26;1256016
St. Clair County, MI;2017;County;MI;26;159005
Wayne County, MI;2017;County;MI;26;1757217
Lapeer County, MI;2018;County;MI;26;87921
Livingston County, MI;2018;County;MI;26;191190
Macomb County, MI;2018;County;MI;26;872795
Oakland County, MI;2018;County;MI;26;1256694
St. Clair County, MI;2018;County;MI;26;159031
Wayne County, MI;2018;County;MI;26;1754453
Lapeer County, MI;2019;County;MI;26;87607
Livingston County, MI;2019;County;MI;26;191995
Macomb County, MI;2019;County;MI;26;873972
Oakland County, MI;2019;County;MI;26;1257584
St. Clair County, MI;2019;County;MI;26;159128
Wayne County, MI;2019;County;MI;26;1749343
